id,name,oldCategory,oldSubcategory,newMainCategory,newSubcategory,tags,needsReview
"atb3ho-10618130956453","شنطه اتبعه","occasions-service","meeting-gifts","occasions-service","meeting-gifts","أتبعه | Atb3ho | شنط ومستلزمات روحية","false"
"atb3ho-10618127974565","شنطه اتبعه","occasions-service","meeting-gifts","occasions-service","meeting-gifts","أتبعه | Atb3ho | شنط ومستلزمات روحية","false"
"atb3ho-10558435197093","كافر كتاب مقدس وشنطه مستلزمات روحيه","occasions-service","meeting-gifts","books-rituals","book-accessories","أتبعه | Atb3ho | شنط ومستلزمات روحية","false"
"atb3ho-10555319877797","تحدي التغيير","occasions-service","christian-games","occasions-service","christian-games","أتبعه | Atb3ho | كروت","false"
"atb3ho-10547044876453","٥ بوك مارك + ٥ FREE","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10547041829029","جورنالينج اتبعه ٣٦٥ يوم","occasions-service","notebooks-planners","occasions-service","notebooks-planners","أتبعه | Atb3ho | جورنالينج","false"
"atb3ho-10545390780581","بوك مارك","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545390354597","بوك مارك داود","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545389863077","بوك مارك (بالإسم)","occasions-service","personalized","occasions-service","personalized","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545388912805","بوك مارك بالإسم اتبعه","occasions-service","personalized","occasions-service","personalized","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545388191909","بوك مارك (بالإسم)","occasions-service","personalized","occasions-service","personalized","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545386553509","بوك مارك مزمور ١١٧","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545385636005","بوك مارك رحلتك","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545382686885","بوك مارك الصليب","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545381474469","بوك مارك اتبعه","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545380884645","بوك مارك صلاة يسوع","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545379934373","بوك مارك بابا يسوع","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | بوك مارك","false"
"atb3ho-10545379836069","نوت بوك اتبعه في صلاتي (اجندة)","occasions-service","notebooks-planners","occasions-service","notebooks-planners","أتبعه | Atb3ho | نوت بوك","false"
"atb3ho-10545378001061","نوت بوك اتبعه في صلاة (سلك)","occasions-service","notebooks-planners","occasions-service","notebooks-planners","أتبعه | Atb3ho | نوت بوك","false"
"atb3ho-10545377149093","اتبعه في تحدياتي","occasions-service","christian-games","occasions-service","christian-games","أتبعه | Atb3ho | كروت","false"
"atb3ho-10545374298277","باكدج اتبعه","occasions-service","christian-games","occasions-service","christian-games","أتبعه | Atb3ho | باكيدج","false"
"atb3ho-10545373839525","كارت منظم لمواعيد سر الاعتراف","occasions-service","cards-bookmarks","occasions-service","cards-bookmarks","أتبعه | Atb3ho | كروت","false"
"atb3ho-10545371218085","اتبعُه رحلة ٢١٤ يوم","occasions-service","notebooks-planners","occasions-service","notebooks-planners","أتبعه | Atb3ho | جورنالينج","false"
"iota-plain-cross-20cm-1","صليب يوتا سادة 20 سم - موديل 1","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-2","صليب يوتا سادة 20 سم - موديل 2","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-3","صليب يوتا سادة 20 سم - موديل 3","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-4","صليب يوتا سادة 20 سم - موديل 4","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-5","صليب يوتا سادة 20 سم - موديل 5","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-6","صليب يوتا سادة 20 سم - موديل 6","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-7","صليب يوتا سادة 20 سم - موديل 7","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-8","صليب يوتا سادة 20 سم - موديل 8","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-9","صليب يوتا سادة 20 سم - موديل 9","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-10","صليب يوتا سادة 20 سم - موديل 10","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-11","صليب يوتا سادة 20 سم - موديل 11","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-12","صليب يوتا سادة 20 سم - موديل 12","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-13","صليب يوتا سادة 20 سم - موديل 13","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-14","صليب يوتا سادة 20 سم - موديل 14","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-15","صليب يوتا سادة 20 سم - موديل 15","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"iota-plain-cross-20cm-16","صليب يوتا سادة 20 سم - موديل 16","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
